"","kingdom","phylum","order","family","genus"
"ASV65737","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV658","Bacteria","Bacteroidetes","Flavobacteriales","Weeksellaceae","Wautersiella"
"ASV65842","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV65895","Bacteria","Firmicutes","Lactobacillales","Lactobacillales spc","Lactobacillales spc"
"ASV659","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Vagococcus"
"ASV65916","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV65936","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV65938","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV6596","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillaceae spc"
"ASV6598","Bacteria","Firmicutes","Clostridiales","Lachnospiraceae","Blautia"
"ASV66","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV660","Bacteria","Actinobacteria","Micrococcales","Micrococcaceae","Nesterenkonia"
"ASV66051","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV66093","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV66095","Bacteria","Proteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
"ASV66130","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillaceae spc"
"ASV66142","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV66174","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV66178","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV66182","Bacteria","Proteobacteria","Enterobacterales","Enterobacterales spc","Enterobacterales spc"
"ASV662","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Paucilactobacillus"
"ASV663","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Halotalea"
"ASV6636","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV66532","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacteriaceae spc"
"ASV66537","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructobacillus"
"ASV66540","Bacteria","Firmicutes","Lactobacillales","Lactobacillales spc","Lactobacillales spc"
"ASV66548","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Lactococcus"
"ASV66577","Bacteria","Proteobacteria","Orbales","Orbaceae","Gilliamella"
"ASV66581","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV666","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV6660","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Leuconostoc"
"ASV66603","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV66607","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV66611","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacteriaceae spc"
"ASV66613","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV66615","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV66644","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Fructobacillus"
"ASV66645","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV667","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Pectinatus"
